Série	Numéro	Nom	Rareté	Nb Normal	Nb Ed1	Nb Reverse	Nb Spéciale	Alternative	Gradées	Image URL
Aventures Ensemble	1/159	Chenipan	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/1.jpg?class=hd
Aventures Ensemble	2/159	Chrysacier	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/2.jpg?class=hd
Aventures Ensemble	3/159	Papilusion	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/3.jpg?class=hd
Aventures Ensemble	4/159	Paras	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/4.jpg?class=hd
Aventures Ensemble	5/159	Parasect	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/5.jpg?class=hd
Aventures Ensemble	6/159	Chlorobule	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/6.jpg?class=hd
Aventures Ensemble	7/159	Fragilady	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/7.jpg?class=hd
Aventures Ensemble	8/159	Maracachi	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/8.jpg?class=hd
Aventures Ensemble	9/159	Carabing	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/9.jpg?class=hd
Aventures Ensemble	10/159	Trompignon	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/10.jpg?class=hd
Aventures Ensemble	11/159	Gaulet ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/11.jpg?class=hd
Aventures Ensemble	12/159	Escargaume	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/12.jpg?class=hd
Aventures Ensemble	13/159	Limaspeed	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/13.jpg?class=hd
Aventures Ensemble	14/159	Fermite	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/14.jpg?class=hd
Aventures Ensemble	15/159	Viridium	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/15.jpg?class=hd
Aventures Ensemble	16/159	Poussacha	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/16.jpg?class=hd
Aventures Ensemble	17/159	Matourgeon	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/17.jpg?class=hd
Aventures Ensemble	18/159	Miascarade	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/18.jpg?class=hd
Aventures Ensemble	19/159	Lilliterelle	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/19.jpg?class=hd
Aventures Ensemble	20/159	Magmar	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/20.jpg?class=hd
Aventures Ensemble	21/159	Maganon	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/21.jpg?class=hd
Aventures Ensemble	22/159	Poussifeu	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/22.jpg?class=hd
Aventures Ensemble	23/159	Galifeu	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/23.jpg?class=hd
Aventures Ensemble	24/159	Braségali ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/24.jpg?class=hd
Aventures Ensemble	25/159	Chartor	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/25.jpg?class=hd
Aventures Ensemble	26/159	Darumarond de N	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/26.jpg?class=hd
Aventures Ensemble	27/159	Darumacho de N	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/27.jpg?class=hd
Aventures Ensemble	28/159	Pyronille	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/28.jpg?class=hd
Aventures Ensemble	29/159	Pyrax	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/29.jpg?class=hd
Aventures Ensemble	30/159	Reshiram ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/30.jpg?class=hd
Aventures Ensemble	31/159	Volcanion ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/31.jpg?class=hd
Aventures Ensemble	32/159	Artikodin	2	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/32.jpg?class=hd
Aventures Ensemble	33/159	Rémoraid	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/33.jpg?class=hd
Aventures Ensemble	34/159	Octillery	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/34.jpg?class=hd
Aventures Ensemble	35/159	Nénupiot	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/35.jpg?class=hd
Aventures Ensemble	36/159	Lombre	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/36.jpg?class=hd
Aventures Ensemble	37/159	Ludicolo	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/37.jpg?class=hd
Aventures Ensemble	38/159	Goélise	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/38.jpg?class=hd
Aventures Ensemble	39/159	Bekipan	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/39.jpg?class=hd
Aventures Ensemble	40/159	Wailmer	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/40.jpg?class=hd
Aventures Ensemble	41/159	Wailord	4	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/41.jpg?class=hd
Aventures Ensemble	42/159	Regice	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/42.jpg?class=hd
Aventures Ensemble	43/159	Délestin ex	32	0	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/43.jpg?class=hd
Aventures Ensemble	44/159	Racaillou d'Alola	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/44.jpg?class=hd
Aventures Ensemble	45/159	Gravalanch d'Alola	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/45.jpg?class=hd
Aventures Ensemble	46/159	Grolem d'Alola	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/46.jpg?class=hd
Aventures Ensemble	47/159	Voltorbe de Mashynn	1	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/47.jpg?class=hd
Aventures Ensemble	48/159	Électrode de Mashynn	2	1	-1	0	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/48.jpg?class=hd
Aventures Ensemble	49/159	Statitik de N	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/49.jpg?class=hd
Aventures Ensemble	50/159	Togedemaru	1	1	-1	1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/50.jpg?class=hd
Aventures Ensemble	51/159	Tokorico ex	32	1	-1	-1	0	-1	0	https://pokecardex.b-cdn.net/assets/images/sets/JTG/HD/51.jpg?class=hd
